Timestamp;EyeTracker;ObjectName;ObjectState;Label;GameObjectPos (Screen Coordinates);Aux Message;AOI_Origin;AOI_Width;AOI_Height
1733824449262;(0.0, 0.0);;;;(0.0, 0.0);Game Starts;(0.0, 0.0);0;0
1733824450778;(848.4, 222.2);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733824450778;(848.4, 222.2);PoisonousMushroom;Appear;Distractor;(1267.3, 189.5);;(1251.3, 224.3);369;304
1733824451429;(1273.8, 229.9);PoisonousMushroom;Disappear;Distractor;(1267.3, 189.5);;(1251.3, 224.3);369;304
1733824451545;(1282.9, 224.8);Mouse Click;Incorrect;Distractor clicked;(1075.0, 178.0);;(1075.0, 178.0);0;0
1733824451945;(998.3, 633.0);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733824452962;(1045.1, 244.2);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733824452963;(1045.1, 244.2);PesticideMushroom;Appear;Distractor;(644.0, 139.1);;(658.2, 226.2);214;255
1733824453628;(640.6, 268.9);PesticideMushroom;Disappear;Distractor;(644.0, 139.1);;(658.2, 226.2);214;255
1733824454144;(736.6, 529.0);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733824454144;(736.6, 529.0);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733824455162;(1089.5, 320.4);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733824455164;(1089.5, 320.4);Mushroom;Appear;Distractor;(651.9, 126.8);;(640.8, 225.2);386;355
1733824455829;(637.8, 232.4);Mushroom;Disappear;Distractor;(651.9, 126.8);;(640.8, 225.2);386;355
1733824455895;(631.4, 235.9);Mouse Click;Incorrect;Distractor clicked;(1075.0, 178.0);;(1075.0, 178.0);0;0
1733824456345;(640.1, 232.9);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733824457363;(1082.5, 318.3);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733824457363;(1082.5, 318.3);PesticideMushroom;Appear;Distractor;(1262.9, 135.8);;(1255.5, 224.8);276;261
1733824458012;(1288.2, 240.6);PesticideMushroom;Disappear;Distractor;(1262.9, 135.8);;(1255.5, 224.8);276;261
1733824458528;(1169.8, 271.7);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733824458529;(1169.8, 271.7);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733824459545;(1078.3, 261.1);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733824459545;(1078.3, 261.1);Mushroom;Appear;Target;(1267.4, 194.3);;(1286.9, 206.6);358;311
1733824460028;(1286.0, 225.8);Mouse Click;Correct;Target clicked;(1075.0, 178.0);;(1075.0, 178.0);0;0
1733824460212;(1277.2, 245.4);Mushroom;Disappear;Target;(1267.4, 194.3);;(1286.9, 206.6);358;311
1733824460712;(1018.7, 841.0);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733824461729;(800.6, 219.6);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733824461729;(800.6, 219.6);PoisonousMushroom;Appear;Distractor;(651.5, 191.7);;(654.8, 225.8);271;297
1733824462378;(642.8, 253.2);PoisonousMushroom;Disappear;Distractor;(651.5, 191.7);;(654.8, 225.8);271;297
1733824462895;(1160.2, 215.0);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733824462895;(1160.2, 215.0);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733824463912;(981.6, 258.1);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
