Timestamp;EyeTracker;ObjectName;ObjectState;Label;GameObjectPos (Screen Coordinates);Aux Message;AOI_Origin;AOI_Width;AOI_Height
1733824180055;(0.0, 0.0);;;;(0.0, 0.0);Game Starts;(0.0, 0.0);0;0
1733824254097;(NaN, NaN);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733824254097;(NaN, NaN);Mushroom;Appear;Target;(1267.4, 194.3);;(1286.9, 206.6);358;311
1733824254814;(1384.7, 266.7);Mushroom;Disappear;Target;(1267.4, 194.3);;(1286.9, 206.6);358;311
1733824254897;(1362.5, 257.0);Mouse Click;Correct;Target clicked;(951.0, 185.0);;(951.0, 185.0);0;0
1733824255814;(1284.5, 292.6);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733824256830;(1002.8, 371.4);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733824256832;(1002.8, 371.4);BlueFlowers;Appear;Distractor;(651.9, 133.4);;(678.2, 245.9);388;406
1733824257548;(646.9, 304.7);BlueFlowers;Disappear;Distractor;(651.9, 133.4);;(678.2, 245.9);388;406
1733824258547;(976.4, 340.0);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733824258547;(976.4, 340.0);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733824259565;(846.9, 369.3);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733824259566;(846.9, 369.3);Trunk;Appear;Distractor;(1276.7, 140.9);;(1279.5, 165.9);598;322
1733824260266;(1291.7, 159.3);Trunk;Disappear;Distractor;(1276.7, 140.9);;(1279.5, 165.9);598;322
1733824261265;(1148.0, 293.5);;;;(0.0, 0.0);End Trial;(0.0, 0.0);0;0
1733824261265;(1148.0, 293.5);Answer;Correct;Distractor not clicked;(0.0, 0.0);;(0.0, 0.0);0;0
1733824262280;(970.4, 302.6);;;;(0.0, 0.0);Init Trial;(0.0, 0.0);0;0
1733824262282;(970.4, 302.6);SecondButterfly;Appear;Distractor;(1257.8, 140.5);;(1263.2, 188.9);316;285
1733824262981;(1285.6, 193.4);SecondButterfly;Disappear;Distractor;(1257.8, 140.5);;(1263.2, 188.9);316;285
